slNo,cust_id,cust_score,days_in_cart,purchase_hist,gender,rating,purchase
190,1690,59,20,0,male,5,1
191,1691,32,14,1,female,3,1
192,1692,61,15,0,female,4,0
193,1693,38,47,0,male,3,1
194,1694,75,5,1,male,0,0
195,1695,60,11,1,male,4,0
196,1696,77,46,0,female,0,1
197,1697,76,30,0,male,4,0
198,1698,54,59,0,female,5,1
199,1699,40,60,1,male,5,1
200,1700,99,60,1,male,1,1
201,1701,19,57,1,female,5,0
202,1702,93,36,1,male,3,1
203,1703,52,45,1,male,0,0
204,1704,10,16,0,female,5,0
205,1705,9,28,0,male,4,1
206,1706,52,3,0,male,2,1
207,1707,81,3,0,female,0,1
208,1708,92,6,1,female,1,1
209,1709,43,50,1,female,4,0
210,1710,91,54,0,male,3,1
211,1711,26,40,0,male,1,1
212,1712,70,14,0,female,5,1
213,1713,46,19,0,male,2,0
214,1714,62,1,0,female,1,0
215,1715,86,59,0,female,4,1
216,1716,48,12,0,male,0,0
217,1717,31,14,1,male,5,1
218,1718,32,28,0,male,5,1
219,1719,92,34,1,male,1,1
220,1720,48,24,0,female,5,1
221,1721,76,22,1,male,4,0
222,1722,44,23,0,female,5,0
223,1723,41,9,1,female,0,0
224,1724,17,3,0,female,4,1
225,1725,46,44,1,male,3,1
226,1726,94,13,0,female,5,1
227,1727,22,40,0,female,2,0
228,1728,49,47,1,male,2,1
229,1729,78,35,1,male,1,1
230,1730,79,12,1,male,3,1
231,1731,53,45,1,female,0,0
232,1732,94,35,1,female,5,1
233,1733,94,59,1,male,3,1
234,1734,11,8,1,male,4,0
235,1735,68,36,1,female,1,0
236,1736,100,22,0,male,3,1
237,1737,76,37,1,male,4,1
238,1738,70,47,0,female,4,0
239,1739,64,37,1,female,5,0
240,1740,46,59,1,female,1,1
241,1741,81,22,1,male,5,1
242,1742,50,55,0,female,0,0
243,1743,77,21,0,male,4,1
244,1744,55,17,1,female,1,0
245,1745,88,60,1,female,4,1
246,1746,67,58,0,female,0,1
247,1747,9,50,0,male,2,0
248,1748,84,51,1,male,5,1
249,1749,71,9,0,female,1,1
250,1750,46,17,1,female,5,0
251,1751,35,57,1,female,4,0
252,1752,50,56,0,female,5,0
253,1753,4,60,0,male,2,0
254,1754,65,19,0,male,3,1
255,1755,32,43,0,female,0,0
256,1756,78,52,1,male,4,0
257,1757,68,9,1,female,3,0
258,1758,12,10,1,male,2,0
259,1759,19,20,1,female,0,0
260,1760,86,51,0,female,4,1
261,1761,76,41,0,female,0,0
262,1762,63,45,1,male,3,1
263,1763,91,52,0,female,4,1
264,1764,18,29,1,male,3,1
265,1765,22,35,0,female,2,1
266,1766,97,15,1,male,3,1
267,1767,49,15,1,male,1,0
268,1768,30,40,1,male,1,1
269,1769,19,6,1,female,5,0
270,1770,39,5,1,female,3,1
271,1771,88,41,1,male,5,1
272,1772,41,31,0,male,5,0
273,1773,65,11,0,male,5,1
274,1774,17,15,0,female,1,0
275,1775,91,21,0,male,1,1
276,1776,3,55,1,male,0,0
277,1777,41,39,0,male,1,0
278,1778,91,33,0,male,4,1
279,1779,20,29,0,female,3,1
280,1780,6,4,1,male,4,1
281,1781,32,54,1,male,4,1
282,1782,55,48,0,female,4,1
283,1783,71,24,1,male,4,1
284,1784,14,49,0,female,4,1
285,1785,70,14,0,male,2,0
286,1786,24,41,1,male,3,0
287,1787,63,51,0,female,1,0
288,1788,97,27,0,female,1,1
289,1789,56,55,0,female,2,0
290,1790,84,23,0,male,5,1
291,1791,92,6,0,female,1,1
292,1792,63,23,1,male,4,0
293,1793,47,40,0,female,0,1
294,1794,94,49,1,male,2,1
295,1795,76,42,1,male,1,1
296,1796,31,18,1,male,4,1
297,1797,63,18,0,female,0,0
298,1798,29,54,0,female,2,0
299,1799,46,29,0,female,5,0
300,1800,38,17,1,female,2,1
301,1801,55,22,0,male,3,0
302,1802,22,23,0,male,5,1
303,1803,30,57,0,female,0,0
304,1804,12,16,0,male,4,0
305,1805,59,38,0,male,3,1
306,1806,54,14,0,male,4,0
307,1807,2,57,0,female,5,0
308,1808,28,32,1,female,5,0
309,1809,76,28,0,female,3,0
310,1810,40,17,1,male,4,1
311,1811,84,31,1,male,3,1
312,1812,99,27,0,female,5,1
313,1813,85,55,1,female,4,1
314,1814,1,22,1,female,3,1
315,1815,54,23,0,female,5,0
316,1816,81,28,1,male,1,1
317,1817,67,41,0,female,2,0
318,1818,1,24,0,female,1,0
319,1819,66,31,0,female,5,1
320,1820,95,57,0,female,0,1
321,1821,73,1,0,female,1,0
322,1822,71,25,0,female,4,0
323,1823,87,36,0,female,2,1
324,1824,7,18,1,female,1,0
325,1825,59,21,1,female,1,0
326,1826,11,18,0,male,2,0
327,1827,37,30,1,male,1,0
328,1828,18,42,1,male,0,0
329,1829,33,47,1,female,0,1
330,1830,68,26,1,female,5,0
331,1831,60,11,1,female,2,0
332,1832,30,28,1,male,5,1
333,1833,100,12,1,female,3,1
334,1834,60,55,0,female,1,0
335,1835,48,54,1,female,5,1
336,1836,5,37,1,male,4,1
337,1837,44,36,1,female,0,0
338,1838,4,21,1,male,3,1
339,1839,99,24,0,male,3,1
340,1840,51,15,0,female,0,1
341,1841,85,51,1,female,0,1
342,1842,93,48,1,male,5,1
343,1843,95,19,1,male,0,1
344,1844,19,36,0,female,2,0
345,1845,30,53,0,female,3,1
346,1846,16,10,1,female,5,1
347,1847,39,40,1,female,1,1
348,1848,65,60,0,male,4,1
349,1849,86,3,1,female,3,1
350,1850,36,21,0,female,4,1
351,1851,84,14,1,male,3,1
352,1852,93,52,0,female,3,1
353,1853,89,39,0,female,0,1
354,1854,76,8,1,female,3,0
355,1855,12,48,1,male,3,0
356,1856,41,35,1,male,3,0
357,1857,53,36,1,female,3,1
358,1858,36,41,1,female,4,1
359,1859,30,58,1,male,2,1
360,1860,28,33,0,male,2,1
361,1861,35,5,1,female,2,1
362,1862,42,17,0,female,5,1
363,1863,67,35,1,female,1,1
364,1864,81,52,0,female,4,1
365,1865,86,17,0,male,2,1
366,1866,33,22,1,male,2,0
367,1867,62,3,1,female,1,1
368,1868,5,28,0,female,2,0
369,1869,29,28,0,male,5,1
370,1870,68,6,0,female,5,1
371,1871,74,58,1,female,3,1
372,1872,85,22,0,female,4,1
373,1873,8,14,1,male,4,1
374,1874,92,60,0,male,0,1
375,1875,89,60,1,male,3,1
376,1876,7,52,0,male,4,0
377,1877,82,33,1,female,2,1
378,1878,96,38,0,female,2,1
379,1879,29,59,0,male,5,1
380,1880,42,41,0,female,4,0
381,1881,30,24,1,female,5,0
382,1882,20,40,1,male,3,1
383,1883,91,18,1,male,3,1
384,1884,43,36,1,female,5,0
385,1885,5,5,1,male,2,0
386,1886,91,48,1,male,2,1
387,1887,6,54,0,female,1,0
388,1888,42,55,0,male,3,1
389,1889,31,45,1,male,0,0
390,1890,6,48,1,male,2,0
391,1891,28,13,1,female,1,0
392,1892,21,38,1,female,5,0
393,1893,67,23,0,male,1,0
394,1894,86,49,1,female,0,1
395,1895,97,5,0,female,0,1
396,1896,62,33,1,male,4,0
397,1897,37,27,0,female,5,1
398,1898,11,36,1,male,3,0
399,1899,67,8,0,female,3,1
400,1900,90,49,0,female,3,1
401,1901,9,2,0,female,0,0
402,1902,94,33,0,female,4,1
403,1903,99,6,1,female,1,1
404,1904,99,50,1,male,3,1
405,1905,84,35,0,male,5,1
406,1906,95,15,1,female,0,1
407,1907,91,53,1,male,5,1
408,1908,21,20,0,male,2,1
409,1909,60,53,1,male,2,1
410,1910,37,59,1,male,1,0
411,1911,57,32,0,male,4,1
412,1912,45,18,0,male,1,0
413,1913,41,20,1,male,1,1
414,1914,89,19,1,female,1,1
415,1915,18,14,0,male,3,0
416,1916,91,15,0,female,3,1
417,1917,91,30,0,female,5,1
418,1918,4,17,0,male,0,0
419,1919,83,18,1,female,0,1
420,1920,65,56,1,female,4,1
421,1921,51,20,0,male,4,1
422,1922,90,52,0,female,0,1
423,1923,86,59,1,male,4,1
424,1924,15,47,1,female,4,1
425,1925,95,48,0,male,4,1
426,1926,18,14,1,female,3,1
427,1927,48,42,0,male,4,0
428,1928,72,40,1,male,5,0
429,1929,24,2,0,female,5,0
430,1930,81,49,0,female,5,1
431,1931,44,25,0,female,5,1
432,1932,37,9,1,male,5,1
433,1933,93,43,1,male,5,1
434,1934,3,4,1,male,2,0
435,1935,14,23,1,female,0,0
436,1936,52,39,0,male,2,1
437,1937,5,40,0,female,2,0
438,1938,30,58,0,male,1,1
439,1939,95,32,1,female,0,1
440,1940,79,56,0,female,0,1
441,1941,6,20,0,female,5,0
442,1942,22,58,1,male,3,0
443,1943,74,10,1,female,4,0
444,1944,6,9,1,male,5,1
445,1945,92,60,1,female,5,1
446,1946,77,29,0,female,5,1
447,1947,99,12,0,male,5,1
448,1948,43,56,0,female,4,0
449,1949,83,53,0,female,5,1
450,1950,35,12,1,male,1,1
451,1951,60,48,1,female,0,1
452,1952,50,57,0,female,1,1
453,1953,44,16,0,female,0,1
454,1954,80,30,0,male,5,1
455,1955,91,18,0,male,4,1
456,1956,54,55,0,female,4,0
457,1957,89,14,0,male,0,1
458,1958,54,23,1,female,0,1
459,1959,14,41,1,female,1,0
460,1960,12,4,1,female,2,0
461,1961,49,7,0,male,1,0
462,1962,37,21,0,male,1,1
463,1963,41,54,1,female,1,0
464,1964,98,15,1,male,0,1
465,1965,52,41,1,male,5,0
466,1966,18,44,1,female,2,0
467,1967,20,21,0,male,0,0
468,1968,79,7,0,male,1,0
469,1969,19,21,0,male,2,0
470,1970,27,4,1,female,4,1
471,1971,87,22,0,male,4,1
472,1972,90,14,0,female,1,1
473,1973,50,5,1,male,3,0
474,1974,41,47,1,male,5,1
475,1975,98,9,1,female,1,1
476,1976,91,26,1,male,2,1
477,1977,88,8,0,female,1,1
478,1978,21,20,1,female,2,0
479,1979,15,28,0,female,4,0
480,1980,81,7,1,male,3,1
481,1981,49,30,0,female,5,0
482,1982,99,33,0,female,4,1
483,1983,34,7,1,female,3,0
484,1984,23,2,1,female,3,0
485,1985,75,54,1,male,0,0
486,1986,5,36,0,female,1,0
487,1987,77,26,0,female,4,1
488,1988,28,12,0,male,0,1
489,1989,77,38,0,female,0,1
490,1990,40,25,1,male,1,1
491,1991,7,34,0,female,0,0
492,1992,28,53,0,female,3,1
493,1993,77,11,1,female,4,1
494,1994,100,27,1,male,0,1
495,1995,53,17,0,male,2,1
496,1996,30,49,0,male,2,1
497,1997,54,55,0,male,3,0
498,1998,89,55,1,male,2,1
499,1999,50,39,0,female,3,1
500,2000,53,39,0,female,0,1
501,2001,32,56,0,female,1,0
502,2002,92,13,0,female,3,1
503,2003,48,27,1,female,0,1
504,2004,89,8,0,male,3,1
505,2005,40,54,0,female,3,1
506,2006,14,29,0,male,3,1
507,2007,11,8,1,male,5,0
508,2008,15,3,1,male,1,0
509,2009,7,18,0,male,5,1
510,2010,17,32,0,female,3,0
511,2011,75,52,1,male,4,0
512,2012,53,17,1,female,2,0
513,2013,43,45,1,male,5,1
514,2014,49,5,1,male,3,1
515,2015,48,44,0,female,1,0
516,2016,11,7,1,male,4,0
517,2017,69,52,1,male,0,0
518,2018,18,22,0,female,4,0
519,2019,84,18,1,male,4,1
520,2020,80,21,0,female,4,1
521,2021,1,47,0,male,4,0
522,2022,40,1,1,female,4,1
523,2023,28,58,0,male,3,1
524,2024,48,3,1,male,1,1
525,2025,26,51,0,male,1,1
526,2026,40,40,0,male,5,0
527,2027,3,54,1,female,3,1
528,2028,33,36,0,female,0,1
529,2029,34,58,0,male,3,0
530,2030,13,13,0,female,1,0
531,2031,46,36,0,male,0,1
532,2032,97,39,0,male,2,1
533,2033,79,34,1,female,3,1
534,2034,100,25,1,female,1,1
535,2035,95,13,0,male,4,1
536,2036,48,6,1,male,5,0
537,2037,31,39,1,male,5,1
538,2038,19,7,1,male,5,1
539,2039,2,55,0,male,3,0
540,2040,19,33,0,male,1,0
541,2041,76,59,0,male,0,0
542,2042,50,19,0,female,2,0
543,2043,73,19,0,female,1,0
544,2044,52,3,0,male,4,0
545,2045,46,51,0,male,3,1
546,2046,58,53,0,female,3,0
547,2047,96,59,1,male,5,1
548,2048,21,35,0,female,1,0
549,2049,54,52,1,male,2,1
550,2050,96,47,1,male,4,1
551,2051,96,31,0,female,3,1
552,2052,94,45,1,female,3,1
553,2053,31,16,0,female,2,0
554,2054,40,19,1,female,5,1
555,2055,11,11,0,male,2,0
556,2056,35,33,1,male,1,0
557,2057,98,33,1,male,1,1
558,2058,68,21,1,female,1,0
559,2059,2,58,0,male,2,0
560,2060,30,11,0,male,1,0
561,2061,57,27,1,female,4,1
562,2062,31,11,0,female,0,1
563,2063,51,21,0,male,5,1
564,2064,47,18,1,female,4,1
565,2065,16,36,0,male,2,0
566,2066,40,13,1,male,0,1
567,2067,13,18,1,male,0,0
568,2068,69,9,1,female,1,0
569,2069,29,13,1,female,5,0
570,2070,42,38,0,female,1,0
571,2071,51,30,1,male,2,1
572,2072,25,11,1,female,4,1
573,2073,61,21,0,male,5,1
574,2074,92,15,1,male,1,1
575,2075,2,10,1,male,2,0
576,2076,11,32,0,male,2,0
577,2077,74,31,1,male,2,1
578,2078,12,40,0,female,2,0
579,2079,40,40,1,male,0,0
580,2080,78,44,1,female,3,0
581,2081,31,14,1,female,0,0
582,2082,40,8,1,male,4,0
583,2083,95,9,1,male,3,1
584,2084,58,45,0,male,1,0
585,2085,8,30,1,female,5,1
586,2086,6,6,0,female,1,0
587,2087,66,26,1,male,1,0
588,2088,47,58,0,female,0,0
589,2089,77,44,1,female,4,1
590,2090,23,27,0,male,2,0
591,2091,46,36,0,male,5,1
592,2092,80,47,0,male,0,1
593,2093,41,27,1,female,4,0
594,2094,39,17,1,male,4,0
595,2095,14,27,0,female,0,0
596,2096,84,59,1,female,4,1
597,2097,19,17,0,female,0,0
598,2098,12,42,1,male,2,0
599,2099,74,25,0,male,5,1
600,2100,13,41,0,male,2,0
601,2101,71,22,1,male,1,0
602,2102,25,43,1,male,5,1
603,2103,16,44,0,male,2,0
604,2104,46,10,1,female,1,0
605,2105,98,58,1,male,3,1
606,2106,86,54,0,female,5,1
607,2107,25,40,0,female,4,1
608,2108,20,43,0,male,0,0
609,2109,1,7,0,female,1,0
610,2110,99,34,0,male,5,1
611,2111,35,2,1,male,0,0
612,2112,11,22,1,female,3,1
613,2113,66,9,0,female,2,1
614,2114,44,7,1,male,2,0
615,2115,51,20,0,male,0,1
616,2116,43,24,0,female,2,0
617,2117,57,3,0,male,0,1
618,2118,4,60,1,male,5,0
619,2119,41,25,0,male,2,0
620,2120,52,25,1,male,5,1
621,2121,13,9,1,male,4,0
622,2122,58,12,1,male,4,0
623,2123,60,16,1,female,5,0
624,2124,21,29,1,female,4,1
625,2125,2,25,1,female,5,0
626,2126,28,48,1,male,0,1
627,2127,77,22,1,female,0,0
628,2128,57,14,0,female,4,0
629,2129,90,51,0,female,2,1
630,2130,70,20,1,male,5,1
631,2131,100,41,0,male,1,1
632,2132,14,54,0,female,0,0
633,2133,63,7,1,female,5,1
634,2134,66,48,1,female,1,1
635,2135,50,50,1,female,1,1
636,2136,55,19,0,male,3,1
637,2137,49,47,1,male,1,1
638,2138,48,54,0,male,2,1
639,2139,17,8,0,female,2,0
640,2140,21,19,0,male,1,1
641,2141,28,7,0,male,2,1
642,2142,33,4,1,male,5,1
643,2143,52,13,1,female,3,1
644,2144,16,14,0,male,3,1
645,2145,14,9,1,male,4,1
646,2146,90,51,0,male,2,1
647,2147,77,38,1,female,1,1
648,2148,100,58,1,male,2,1
649,2149,57,31,0,female,0,0
650,2150,83,40,1,male,3,1
651,2151,8,33,0,male,2,0
652,2152,1,46,0,male,1,0
653,2153,93,42,0,male,2,1
654,2154,49,44,0,female,5,0
655,2155,96,55,1,female,4,1
656,2156,78,56,0,female,3,0
657,2157,54,58,0,male,0,0
658,2158,55,5,1,male,5,1
659,2159,23,33,0,male,1,0
660,2160,37,16,1,male,5,0
661,2161,54,32,1,male,5,1
662,2162,19,18,1,male,0,0
663,2163,44,53,0,male,1,1
664,2164,69,26,1,female,1,0
665,2165,32,28,1,male,4,1
666,2166,6,37,1,female,3,0
667,2167,34,16,0,female,3,0
668,2168,98,60,0,male,1,1
669,2169,71,11,0,female,1,0
670,2170,42,6,1,male,2,0
671,2171,74,10,1,female,1,0
672,2172,58,49,1,female,1,0
673,2173,87,31,0,male,3,1
674,2174,42,58,1,female,4,1
675,2175,9,54,0,male,5,0
676,2176,24,52,1,male,2,0
677,2177,96,12,0,female,0,1
678,2178,80,56,0,female,3,0
679,2179,90,4,0,male,4,1
680,2180,96,9,0,female,4,1
681,2181,59,49,0,female,0,0
682,2182,41,13,1,female,2,0
683,2183,14,16,1,female,4,0
684,2184,82,2,1,female,5,1
685,2185,70,46,0,male,0,1
686,2186,5,55,0,female,4,1
687,2187,7,18,0,male,4,1
688,2188,96,1,1,female,3,1
689,2189,92,26,0,male,4,1
690,2190,44,30,1,female,1,1
691,2191,63,4,1,male,0,0
692,2192,85,45,0,male,0,1
693,2193,24,33,1,female,2,1
694,2194,59,17,1,male,4,1
695,2195,39,53,0,male,4,1
696,2196,84,31,0,female,0,1
697,2197,91,32,1,male,2,1
698,2198,50,21,0,female,1,1
699,2199,10,32,0,female,5,0
700,2200,72,2,0,male,5,1
701,2201,11,46,0,female,2,0
702,2202,20,15,1,male,1,0
703,2203,87,39,1,male,5,1
704,2204,6,26,1,female,5,1
705,2205,12,40,0,female,2,0
706,2206,39,12,0,male,1,1
707,2207,31,49,0,female,4,0
708,2208,74,8,1,male,1,0
709,2209,83,31,0,male,4,1
710,2210,21,49,0,female,1,1
711,2211,34,31,1,female,0,0
712,2212,44,24,1,male,3,1
713,2213,18,7,0,female,4,1
714,2214,37,13,1,male,1,0
715,2215,29,17,0,male,0,1
716,2216,8,25,0,female,4,0
717,2217,3,3,1,male,3,0
718,2218,14,47,1,female,5,1
719,2219,50,22,0,male,3,1
720,2220,45,3,1,female,2,1
721,2221,25,57,0,female,2,0
722,2222,4,33,1,female,5,0
723,2223,23,24,0,male,3,1
724,2224,96,11,1,female,5,1
725,2225,50,35,0,male,1,1
726,2226,44,50,0,female,0,0
727,2227,33,21,0,female,1,0
728,2228,58,32,0,female,1,0
729,2229,79,19,1,female,1,0
730,2230,17,23,1,male,2,0
731,2231,76,43,1,male,5,0
732,2232,18,32,1,male,3,1
733,2233,68,59,0,male,4,1
734,2234,1,45,1,female,4,1
735,2235,74,30,1,female,3,1
736,2236,9,33,0,male,4,0
737,2237,84,27,1,female,1,1
738,2238,92,35,0,male,3,1
739,2239,57,36,1,male,3,0
740,2240,65,13,0,male,1,1
741,2241,60,8,1,female,1,0
742,2242,57,44,0,male,1,0
743,2243,19,33,0,female,4,1
744,2244,34,5,0,male,0,0
745,2245,36,53,0,female,2,0
746,2246,18,3,1,male,3,0
747,2247,65,32,0,male,2,1
748,2248,52,2,0,male,4,0
749,2249,48,28,0,male,4,1
750,2250,4,28,1,male,4,0
751,2251,51,37,0,male,2,0
752,2252,85,43,1,male,0,1
753,2253,68,29,1,male,5,0
754,2254,51,46,1,female,1,1
755,2255,38,39,0,female,1,0
756,2256,41,37,0,female,5,1
757,2257,99,26,0,male,3,1
758,2258,69,15,0,female,0,1
759,2259,62,29,1,male,1,0
760,2260,5,32,1,female,5,0
761,2261,55,45,0,female,2,1
762,2262,27,9,1,male,4,0
763,2263,78,53,0,male,2,0
764,2264,24,35,0,female,1,0
765,2265,22,16,1,female,1,1
766,2266,72,42,0,male,2,1
767,2267,21,46,0,female,2,1
768,2268,13,45,0,female,1,0
769,2269,86,39,1,male,2,1
770,2270,10,27,0,male,3,1
771,2271,58,17,0,female,4,0
772,2272,41,21,1,male,0,0
773,2273,73,32,1,male,2,1
774,2274,99,44,0,male,4,1
775,2275,50,6,0,female,3,0
776,2276,53,32,1,female,1,1
777,2277,18,54,0,male,4,1
778,2278,41,20,0,female,4,1
779,2279,56,1,1,female,5,0
780,2280,29,37,0,female,4,1
781,2281,6,29,0,male,1,0
782,2282,24,34,0,male,1,0
783,2283,94,46,0,female,2,1
784,2284,29,6,1,male,3,1
785,2285,99,40,0,female,1,1
786,2286,98,53,0,male,0,1
787,2287,38,46,1,male,5,1
788,2288,73,31,0,male,0,1
789,2289,16,55,0,female,0,0
790,2290,86,11,0,female,1,1
791,2291,85,11,0,male,4,1
792,2292,75,37,0,female,2,0
793,2293,11,27,0,male,1,0
794,2294,7,1,0,male,5,0
795,2295,92,60,1,female,3,1
796,2296,30,49,0,male,5,0
797,2297,97,42,0,male,1,1
798,2298,19,22,0,male,1,0
799,2299,63,6,0,male,5,1
800,2300,45,59,0,female,2,0
801,2301,20,49,0,female,4,0
802,2302,63,6,1,female,5,1
803,2303,10,14,0,male,5,0
804,2304,41,30,0,female,2,1
805,2305,27,33,1,female,0,1
806,2306,100,39,1,male,4,1
807,2307,29,56,0,male,2,1
808,2308,27,21,0,female,1,0
809,2309,42,48,1,male,1,0
810,2310,99,60,0,female,1,1
811,2311,14,36,1,female,0,0
812,2312,98,8,1,male,4,1
813,2313,80,35,0,female,0,0
814,2314,49,11,1,female,0,0
815,2315,83,3,0,male,5,1
816,2316,86,9,0,male,0,1
817,2317,89,11,1,male,5,1
818,2318,69,8,0,female,3,1
